provider,region,timestamp,carbon_intensity_gco2_kwh,renewable_percentage
aws,af-south-1,2026-08-14T20:25:58.867885+00:00,795.6,5.0
aws,af-south-1,2026-08-14T21:20:22.224091+00:00,795.6,5.0
aws,af-south-1,2026-08-14T22:17:41.202123+00:00,795.6,5.0
aws,af-south-1,2026-08-14T23:18:32.060988+00:00,795.6,5.0
aws,af-south-1,2026-08-15T00:52:58.075660+00:00,795.6,5.0
aws,af-south-1,2026-08-15T02:12:31.365013+00:00,795.6,5.0
aws,af-south-1,2026-08-15T03:35:23.147164+00:00,780.0,8.0
aws,af-south-1,2026-08-15T04:24:38.012847+00:00,780.0,8.0
aws,af-south-1,2026-08-15T05:20:14.677472+00:00,780.0,8.0
aws,af-south-1,2026-08-15T06:27:33.068719+00:00,780.0,8.0
aws,af-south-1,2026-08-15T07:26:42.583759+00:00,780.0,8.0
aws,af-south-1,2026-08-15T08:23:33.150338+00:00,717.6,14.0
aws,af-south-1,2026-08-15T09:21:31.862188+00:00,717.6,14.0
aws,af-south-1,2026-08-15T10:18:44.405519+00:00,717.6,14.0
aws,af-south-1,2026-08-15T11:14:58.240085+00:00,717.6,14.0
aws,af-south-1,2026-08-15T12:26:07.143169+00:00,717.6,14.0
aws,af-south-1,2026-08-15T13:26:59.157692+00:00,717.6,14.0
aws,af-south-1,2026-08-15T14:18:41.206760+00:00,780.0,8.0
aws,af-south-1,2026-08-15T15:17:37.587567+00:00,780.0,8.0
aws,af-south-1,2026-08-15T16:19:29.516162+00:00,780.0,8.0
aws,af-south-1,2026-08-15T17:17:17.925937+00:00,780.0,8.0
aws,af-south-1,2026-08-15T18:19:57.562183+00:00,780.0,8.0
aws,af-south-1,2026-08-15T19:18:46.794260+00:00,780.0,8.0
aws,af-south-1,2026-08-15T20:16:43.104481+00:00,795.6,5.0
aws,af-south-1,2026-08-15T21:17:43.912327+00:00,795.6,5.0
aws,af-south-1,2026-08-15T22:14:57.476382+00:00,795.6,5.0
aws,af-south-1,2026-08-15T23:14:57.104125+00:00,795.6,5.0
aws,af-south-1,2026-08-16T00:55:58.491450+00:00,795.6,5.0
aws,af-south-1,2026-08-16T02:19:50.596405+00:00,795.6,5.0
aws,af-south-1,2026-08-16T03:44:03.473845+00:00,780.0,8.0
aws,af-south-1,2026-08-16T04:30:09.089350+00:00,780.0,8.0
aws,af-south-1,2026-08-16T05:23:31.778048+00:00,780.0,8.0
aws,af-south-1,2026-08-16T06:29:54.528991+00:00,780.0,8.0
aws,af-south-1,2026-08-16T07:27:16.148320+00:00,780.0,8.0
aws,af-south-1,2026-08-16T08:22:40.219749+00:00,717.6,14.0
aws,af-south-1,2026-08-16T09:22:21.494010+00:00,717.6,14.0
aws,af-south-1,2026-08-16T10:18:06.937124+00:00,717.6,14.0
aws,af-south-1,2026-08-16T11:14:43.196493+00:00,717.6,14.0
aws,af-south-1,2026-08-16T12:26:43.500175+00:00,717.6,14.0
aws,af-south-1,2026-08-16T13:26:53.428517+00:00,717.6,14.0
aws,af-south-1,2026-08-16T14:18:26.724363+00:00,780.0,8.0
aws,af-south-1,2026-08-16T15:17:18.075947+00:00,780.0,8.0
aws,af-south-1,2026-08-16T16:19:05.544414+00:00,780.0,8.0
aws,af-south-1,2026-08-16T17:14:57.259420+00:00,780.0,8.0
aws,af-south-1,2026-08-16T18:20:40.908590+00:00,780.0,8.0
aws,af-south-1,2026-08-16T19:18:49.313422+00:00,780.0,8.0
aws,af-south-1,2026-08-16T20:16:01.961075+00:00,795.6,5.0
aws,af-south-1,2026-08-16T21:14:37.670426+00:00,795.6,5.0
aws,af-south-1,2026-08-16T22:16:46.902088+00:00,795.6,5.0
aws,af-south-1,2026-08-16T23:14:25.474112+00:00,795.6,5.0
